Location,Disaster Type,Disaster Subtype,Start Year,Total Deaths,Total Damage ('000 US$)
"New Delhi city (Delhi province), Gujarat, Rajasthan, Madhya Prasdesh, Andhra Pradesh, Orissa, Maharashtra provinces",Drought,Drought,2000,20.0,588000.0
"Uttar Pradesh, Bihar, Punjab provinces",Extreme temperature,Cold wave,2001,125.0,
"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",Earthquake,Ground movement,2001,20005.0,2623000.0
Siliguri (West Bengal),Epidemic,Infectious disease (General),2001,28.0,
"Silchar city (Cachar district, Assam province), Patharkandi village (Karimganj district, Assam province), West Tripura district (Tripura province)",Flood,Riverine flood,2001,5.0,
"Mumbai, Thane",Epidemic,Bacterial disease,2001,16.0,
"Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province)",Flood,Riverine flood,2001,100.0,90000.0
Uttar Pradesh province,Storm,Lightning/Thunderstorms,2001,21.0,
"Hosdurg borough (Kanhangad city, Kasaragod district, Kerala province), Vertak Nagar area (Thane district, Maharashtra province), Bhandup area (Mumbai Suburban district, Maharashtra province)",Flood,Flood (General),2001,28.0,
"Idukki, Kottayam, Pattanamtitta, Kollam, Alappuzha districts (Kerala province)",Flood,Riverine flood,2001,86.0,116924.0
Orissa State,Epidemic,Bacterial disease,2001,33.0,
Rudra Prayag district (Uttarakhand province),Mass movement (wet),Landslide (wet),2001,27.0,
Orissa state,Epidemic,Parasitic disease,2001,12.0,
"Aurangabad, Bhojpur, Gopalganj, Jehanabad, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Purba Champaran, Rohtas, Saran, Sitamarhi, Siwan, Vaishali districts (Bihar province)",Flood,Riverine flood,2001,,
Chamba district (Himachal Pradesh province),Mass movement (wet),Landslide (wet),2001,16.0,
Delhi province,Flood,Flood (General),2001,10.0,
"Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",Flood,Flood (General),2001,158.0,26000.0
"Saran, Gopalganj, Purba Champaran, Madhubani districts (Bihar province), Uttar Pradesh province",Flood,Flash flood,2001,48.0,26000.0
Andhra Pradesh province,Storm,Tropical cyclone,2001,78.0,
"Amboori village (Thiruvananthapuram district, Kerala province)",Mass movement (wet),Landslide (wet),2001,55.0,
"Uttar Pradesh, Rajasthan provinces",Extreme temperature,Cold wave,2001,48.0,
"Gujarat, Goa, Maharashtra, Kerala provinces",Storm,Tropical cyclone,2001,,
"Saran, Gopalganj districts (Bihar province)",Flood,Flood (General),2001,146.0,103000.0
Mandi district,Epidemic,Viral disease,2002,,
West Bengal province,Storm,Tropical cyclone,2002,9.0,416.0
Orissa province,Storm,Hail,2002,,
"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",Extreme temperature,Heat wave,2002,1030.0,
Assam,Epidemic,Parasitic disease,2002,50.0,
"Gobalpur area (Hugli district, West Bengal), Kolkata, Jalpaiguri, Darjiling districts (West Bengal province)",Storm,Lightning/Thunderstorms,2002,11.0,
"Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Araria, Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Pruba Champaran, Purnia, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul districts (Bihar province), Lahul and Spiti district (Himachal Pradesh province), Balaghat district (Madhya Pradesh province), Tehri Garhwal district (Uttarakhand province), Adilabad, Khammam, Karimnagar districts (Andhra Pradesh province), Jalpaiguri, Kochbihar, Darjiling districts (West Bengal province), Meghalaya, Tripura, Arunachal Pradesh, Gujarat, Kerala, Manipur, Maharashrta provinces",Flood,Riverine flood,2002,549.0,30772.0
"Tehri Garhwal district (Uttaranchal province), Bihar, Assam, Manipur provinces",Flood,Riverine flood,2002,33.0,20000.0
Assam,Epidemic,Viral disease,2002,86.0,
Balaghat district (Madhya Pradesh province),Flood,Riverine flood,2002,100.0,
"Bharuch district (Gujarat province), Jalgaon, Nasik districts (Maharashtra province)",Flood,Riverine flood,2002,22.0,
Andaman Islands district (Andaman and Nicobar province),Earthquake,Ground movement,2002,2.0,
"Kannur, Kasaragod, Kozhikode, Malappuram, Thiruvananthapuram districts (Kerala province)",Flood,Riverine flood,2002,11.0,
"Baleshwar, Bhadrak, Jagatsinghpur, Kendrapara districts (Orissa province), East Midnapore, North 24 Parganas, South 24 Parganas (West Bengal province)",Storm,Tropical cyclone,2002,124.0,
"Chennai, Coimbatore, Cuddalore districts (Tamil Nadu province",Flood,Flood (General),2002,20.0,
Saharanpur (Uttar Pradesh),Epidemic,Infectious disease (General),2002,44.0,
"Bihar, Uttar Pradesh, Himachal Pradesh, Rajasthan, Jharkhand, Jammu and Kashmir, Punjab, Haryana, Delhi provinces",Extreme temperature,Cold wave,2002,900.0,
"Uttar Pradesh, Madhya Pradesh, Rajasthan, Punjab, Haryana, Delhi, Karnataka, Kerala, Nagaland, Orissa, Chhattisgarh, Himachal Pradesh, Gujarat, Maharashtra, Andhra Pradesh, Tamil Nadu provinces",Drought,Drought,2002,,910722.0
Betul district (Madhya Pradesh province),Storm,Storm (General),2003,20.0,
"Jammu and Kashmir (40424 to 40431), Punjab, Haryana provinces",Storm,Storm (General),2003,14.0,
Gujarat province,Storm,Tropical cyclone,2003,5.0,
"Bankura, Hugli, Haora districts (West Bengal province)",Storm,Hail,2003,30.0,16000.0
Administrative unit not available district (Jammu and Kashmir province),Mass movement (wet),Avalanche (wet),2003,25.0,
"Chirakhawa, Chirakhawa Topopara, Peepulbari part 1, Peepulbari part 2, Bhurakata, Baliabeel, Bengerbhita, Baushkata areas (Dhuburi district, Assam province)",Storm,Tropical cyclone,2003,45.0,
"Mekhliganj, Haldibari, Fukaldabri, Nijtaraf, Kasiabari, Bholarhat, Beltali areas (Kochbihar district, West Bengal province)",Storm,Tropical cyclone,2003,,
"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",Extreme temperature,Heat wave,2003,1210.0,400000.0
"Assam, Bihar, Tripura, West Bengal provinces",Flood,Riverine flood,2003,142.0,
"Khavda, Banni, Natkharana, Lakhpat villages (Kachchh district, Gujarat province)",Flood,Riverine flood,2003,13.0,
Delhi,Epidemic,Viral disease,2003,,
"Krishna, Guntur, West Godavari districts (Andhra Pradesh province)",Storm,Tropical cyclone,2003,50.0,28000.0
"Uttar Pradesh, Himachal Pradesh, Haryana, Jammu and Kashmir provinces",Extreme temperature,Cold wave,2003,400.0,
"Cuttack, Jagatsinghpur, Kendrapara, Jajpur, Puri, Bolangir, Sonepur, Kalahandi, Rayagada, Gajapati, Baragarh, Koraput, Nayagarh, Ganjam, Angul districts (Orissa province)",Flood,Riverine flood,2003,67.0,169000.0
Kullu district (Himachal Pradesh province),Flood,Flash flood,2003,150.0,
"Solang village (Kullu district, Himachal Pradesh)",Flood,Flash flood,2003,43.0,
Uttar Pradesh province,Flood,Riverine flood,2003,37.0,
"Leimapokpam, Thiyam, Lourembam, Nambol Laitonjam villages (Bishnupur district, Manipur province), Na-Orem, Pukhrambam, Sanjenbam villages (West Imphal district, Manipur province), Oinam, Khangabok villages (Thoubal district, Manipur province)",Flood,Riverine flood,2004,,
"Darbhanga, Madhubani, Sitamarhi, Banka, Bhagalpur, Muzaffarpur, Sheohar districts (Bihar province), West Tripura, South Tripura districts (Tripura province), Kamrup, Nalbari, Darrang, Sonitpur, Dhemaji, Lakhimpur districts (Assam province), Gujarat, Jammu and Kashmir provinces",Flood,Riverine flood,2004,900.0,2500000.0
"Wayanad, Kozhikode, Kannur, Kasaragod districts (Kerala province)",Flood,Riverine flood,2004,45.0,
"Uttar Pradesh, Himachal Pradesh provinces",Flood,Flash flood,2004,33.0,
"Goalpara district (Assam province), Meghalaya, Arunachal Pradesh, West Bengal provinces",Flood,Flash flood,2004,160.0,
"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Earthquake,Tsunami,2004,16389.0,1022800.0
"Uttarakhand, Gujarat, Maharashtra, Punjab, Haryana, Rajasthan provinces",Flood,Riverine flood,2004,210.0,276000.0
Administrative unit not available districts (Jammu and Kashmir province),Mass movement (wet),Avalanche (wet),2005,250.0,50000.0
"Barddhaman, North 24 Parganas, South 24 Parganas districts (West Bengal province)",Storm,Storm (General),2005,18.0,
"Delhi, Haryana, Chandigarh, Uttar Pradesh, Uttaranchal",Epidemic,Bacterial disease,2005,48.0,
"Guntur, Krishna, Srikakulam, Karimnagar, Nalgonda districts (Andhra Pradesh province)",Storm,Storm (General),2005,20.0,
Kolkata district (West Bengal province),Storm,Storm (General),2005,11.0,
Mokokchung district (Nagaland province),Flood,Riverine flood,2005,14.0,
"Uttar Pradesh, Bihar, West Bengal, Orissa, Maharashtra, Andhra Pradesh provinces",Extreme temperature,Heat wave,2005,329.0,
"Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",Flood,Riverine flood,2005,239.0,2300000.0
"Digras, Nandgavan villages (Yavatmal district, Maharashtra province)",Flood,Riverine flood,2005,25.0,
"Sangla, Kalpa, Yangthang, Sumdo, Khab, Karcham, Leo, Akpa, Kharo villages (Kinnaur district, Himachal Pradesh province), Rampur Bushahr village (Shimla district, Himachal Pradesh province), Kullu, Bilaspur, Mandi districts (Himachal Pradesh)",Flood,Riverine flood,2005,6.0,23000.0
"Yingkiong village (Upper Siang (70051) district, Arunachal Pradesh province), Seppa village (East Kameng (70040) district, Arunachal Pradesh province), Anini village (70050 district, Arunachal Pradesh province), Dibrugarh, Sonitpur, Sibsagar, Dhemaji, Tinsukia, Karimganj, Lakhimpur, Jorhat, Morigaon, Dhuburi, Goalpara, Barpeta districts (Assam province), Bahraich, Shravasti, Banda, Ballia, Lakhimpur Kheri, Kanpur, Varanasi, Mainpuri districts (Uttar Pradesh province), Haridwar, Uttarkashi, Naini Tal, Dehran Dun districts (Uttarakhand province), Muzaffarpur, Darbhanga, Madhubani districts (Bihar province), Birbhum district (West Bengal province)",Flood,Riverine flood,2005,70.0,
"Ashoknagar, Chhatarpur, Damoh, Jabalpur, Katni, Narsinghpur, Panna, Rewa, Sagar, Satna districts (Madhya Pradesh province)",Flood,Riverine flood,2005,62.0,
"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, East Godavari, Guntur, Krishna, Nellore, Prakasam, Srikakulam, Vishakhapatnam, Vizianagaram, West Godavari districts (Andhra Pradesh province)",Flood,Riverine flood,2005,12.0,
"Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces",Flood,Riverine flood,2005,1200.0,3330000.0
"Guwahati city (Kamrup district, Assam province)",Mass movement (wet),Landslide (wet),2005,12.0,
Azamgarh district (Uttar Pradesh province),Flood,Flash flood,2005,27.0,
"Uttar Pradesh, Bihar",Epidemic,Viral disease,2005,296.0,
Maharashtra state,Epidemic,Bacterial disease,2005,110.0,
"Karnataka, Andhra Pradesh provinces",Flood,Riverine flood,2005,126.0,
"Andhra Pradesh, Orissa provinces",Storm,Storm (General),2005,33.0,
"Himachal Pradesh, Uttar Pradesh, Uttarakhand provinces",Flood,Riverine flood,2005,23.0,
"Raj Nandgaon, Durg districts (Chhattisgarh province), Baleshwar, Bhadrak, Jajpur districts (Orissa province), Bhandara, Gondiya, Nagpur districts (Maharashtra province), Balaghat, Katni, Jabalpur, Seoni districts (Madhya Pradesh province)",Flood,Riverine flood,2005,89.0,420000.0
Administrative unit not available districts (Jammu and Kashmir province),Earthquake,Ground movement,2005,1309.0,1000000.0
"East Midnapore, South 24 Parganas, Barddhaman, Nadia districts (West Bengal province), Baleshwar district (Orissa province)",Flood,Riverine flood,2005,19.0,117000.0
"Surat, Vadodara, Bhavnagar, Panch Mahals, Narmada districts (Gujarat province)",Flood,Riverine flood,2005,15.0,
"Salem, Namakkal, Karur, Erode, Tiruchchirappalli, Vellore, Perambalur, Nagapattinam, Kanniyakumari, Dharmapuri, Madurai, Villupuram, Chennai, Cuddalore districts (Tamil Nadu province), Karaikal district (Puducherry province), Bangalore Rural, Bangalore Urban, Mysore districts (Karnataka province), Nellore, Chittoor, Vishakhapatnam, Srikakulam, Vizianagaram, Cuddapah districts (Andhra Pradesh province), West Bengal, Orissa provinces",Flood,Riverine flood,2005,162.0,
Uttar Pradesh and Bihar states,Epidemic,Viral disease,2005,296.0,
Tamil Nadu province,Flood,Riverine flood,2005,30.0,
"Uttar Pradesh, Punjab, Haryana, Himachal Pradesh, Delhi, Bihar, Rajasthan, Jammu and Kashmir provinces",Extreme temperature,Severe winter conditions,2005,180.0,
"Himachal Pradesh, Punjab, Jammu and Kashmir, Haryana provinces",Flood,Riverine flood,2005,10.0,
"Andhra Prasdesh, Maharashtra, Karnataka states",Epidemic,Viral disease,2005,,
"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",Flood,Flash flood,2006,20.0,
"Uttar Pradesh, Orissa, Punjab, Delhi provinces",Extreme temperature,Heat wave,2006,47.0,
"Assam, Tripura provinces",Flood,Riverine flood,2006,21.0,
Kerala province,Flood,Riverine flood,2006,32.0,
"Maharashtra, Gujarat provinces",Flood,Riverine flood,2006,41.0,
"Ballia, Chandauli districts (Uttar Pradesh province)",Flood,Riverine flood,2006,130.0,
"Navsari, The Dangs districts (Gujarat)",Flood,Riverine flood,2006,24.0,
"Gajapati, Rayagada districts (Orissa province)",Flood,Riverine flood,2006,33.0,
Jammu and Kashmir provinces,Flood,Riverine flood,2006,15.0,
"Andhra Pradesh, Gujarat, Maharashtra, Chhattisgarh, Rajasthan, Madhya Pradesh, Orissa, Karnataka provinces",Flood,Riverine flood,2006,350.0,3390000.0
Gujarat province,Flood,Riverine flood,2006,,
"Barmer, Jaisalmer, Kota, Udaipur districts (Rajasthan province)",Flood,Riverine flood,2006,135.0,
"Andhra Pradesh, West Bengal, Bihar provinces",Storm,Tropical cyclone,2006,114.0,
Jammu and Kashmir provinces,Flood,Flash flood,2006,19.0,
"Balrampur, Bahraich, Lakhimpur Kheri, Shravasti, Gonda, Bara Banki districts (Uttar Pradesh province)",Flood,Riverine flood,2006,42.0,
"Tamil Nadu, Andhra Pradesh provinces",Flood,Riverine flood,2006,47.0,
"Orissa, Andhra Pradesh, Chhattisgarh provinces",Flood,Riverine flood,2006,185.0,
"Madhya Pradesh, Maharashtra, Rajasthan provinces",Flood,Riverine flood,2006,61.0,
Madhya Pradesh province,Flood,Flash flood,2006,39.0,
"Uttar Pradesh, Gujarat provinces",Storm,Lightning/Thunderstorms,2006,76.0,
"Uttar Pradesh, Rajasthan, Punjab, Delhi provinces",Extreme temperature,Heat wave,2007,72.0,
"Lakhimpur, Dhemaji, Cachar, Karimganj, Hailakandi, Darrang, Dibrugarh districts (Assam province)",Flood,Riverine flood,2007,15.0,
"Junagadh district (Daman and Diu province), Amreli, Bhavnagar, Jamnagar, Junagadh, Porbandar, Rajkot, Surendranagar districts (Gujarat province), Rajasthan, Madhya Pradesh",Flood,Riverine flood,2007,225.0,
"Amravati, Mumbai City, Mumbai Suburban, Raigarh, Ratnagiri, Sindhudurg, Thane districts (Maharashtra province)",Flood,Riverine flood,2007,62.0,
"Raipur, Bilaspur, Mahasamund, Durg districts (Chhattisgarh province)",Flood,Riverine flood,2007,29.0,
"Kurnool, Mahbubnagar, Guntur, Prakasam, East Godavari, West Godavari, Anantapur, Cuddapah districts (Andhra Pradesh province), Thrissur district (Kerala province), Belgaum, Bijapur, Bagalkot, Kodagu, Hassan, Mysore districts (Karnataka province), Mumbai City, Pune districts (Maharashtra province)",Flood,Flash flood,2007,127.0,
"Udaipur, Amarpur cities (South Tripura district, Tripura province), Sonamura citiy (West Tripura district, Tripura province)",Flood,Riverine flood,2007,,
"Bihar, Uttar Pradesh, Assam, Orissa, West Bengal provinces",Flood,Riverine flood,2007,1103.0,
Himachal Pradesh province,Flood,Riverine flood,2007,76.0,
Gujarat province,Flood,Riverine flood,2007,16.0,
"Baleshwar, Kendrapara, Bhadrak, Jagatsinghpur, Jajpur, Mayurbhanj, Khordha, Cuttack, Puri, Kandhamal districts (Orissa province), Kolkata, South 24 Parganas, East Midnapore, West Midnapore, Hughli districts (West Bengal province)",Flood,Coastal flood,2007,80.0,275000.0
"Kurnool, Cuddapah, Warangal, Nalgonda, Karimnagar, Mahbubnagar, Anantapur, Nellore, Krishna districts (Andhra Pradesh province), Gadag district (Karnataka province)",Flood,Riverine flood,2007,94.0,
"Andhra Pradesh, Tamil Nadu province",Flood,Riverine flood,2007,29.0,
"West Bengal, Orissa provinces",Storm,Tropical cyclone,2007,,
"Cuttack, Puri, Khordha, Jajpur, Jagatsinghpur districts (Orissa province)",Flood,Riverine flood,2007,15.0,
"Assam, Arunachal Pradesh, Meghalaya, Manipur provinces",Flood,Riverine flood,2007,96.0,
Kerala province,Flood,Riverine flood,2007,44.0,101151.0
"Uttar Pradesh, Jammu and Kashmir, Gujarat provinces",Extreme temperature,Cold wave,2007,47.0,
"Rajasthan, Uttar Pradesh, Madhya Pradesh, Jammu and Kashmir provinces",Flood,Flood (General),2007,40.0,
Jammu and Kashmir province,Extreme temperature,Cold wave,2007,66.0,
Administrative unit not available districts (Jammu and Kashmir province),Mass movement (wet),Landslide (wet),2008,37.0,
"Tamil Nadu, Karnataka provinces",Flood,Flood (General),2008,37.0,2000.0
"Lakhimpu, Dhemaji, Sonitpur districts (Assam province), West Bengal, Orissa, Bihar, Gujarat, Goa, Haryana, Kerala, Karnataka, Maharastra, Madhya Pradesh, Punjab, Rajasthan, Uttar Pradesh, Tamil Nadu, Arunachal Pradesh, Uttarakhand, Jharkhand provinces",Flood,Flash flood,2008,1063.0,123000.0
"Assam, Bihar, Gujarat, Goa, Haryana, Jharkhand, Kerala, Karnataka, Maharashtra, Madhya Pradesh, Punjab, Orissa, Rajasthan, Uttarakhand, Uttar Pradesh, Tamil Nadu, West Bengal provinces",Flood,Riverine flood,2008,,
"Khammam, West Godavari, Krishna, Guntur districts (Andhra Pradesh province)",Flood,Riverine flood,2008,74.0,
"Orissa, Uttar Pradesh, Himachal Pradesh provinces",Flood,Riverine flood,2008,173.0,
"Muzaffarpur, Supaul, Patna, Katihar, Nalanda, Araria, Pashchim Champaran, Sheikhpura, Saharsa, Purnia, Saran, Begusarai, Bhagalpur, Madhepura, Vaishali, Khagaria districts (Bihar province), Assam province",Flood,Riverine flood,2008,47.0,20000.0
"Thiruvallur, Thoothukudi, Villupuram, Ramanathapuram, Tirunelveli Kattabo, Pudukkottai, Kanniyakumari, Nagapattinam, Cuddalore, Chennai districts (Tamil Nadu province), Puducherry, Karaikal districts (Puducherry province)",Flood,Flash flood,2008,54.0,
"Lakhimpur, Jorhat districts (Assam province), Uttar Pradesh, Bihar provinces",Flood,Riverine flood,2008,142.0,
"Uttar Pradesh, Bihar, Haryana, Punjab, Himachal Pradesh, Uttarakhand, Jammu and Kashmir provinces",Extreme temperature,Cold wave,2008,70.0,
Uttar Pradesh province,Storm,Sand/Dust storm,2008,111.0,25000.0
Kendrapara district (Orissa province),Storm,Tornado,2009,15.0,
"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",Extreme temperature,Heat wave,2009,120.0,
"Sagar, Namkhana, Kakdwip, Pathar Pratima, Canning, Basanti, Mathurapur, Kultali villages (South 24 Parganas district, West Bengal province), Kolkata, North 24 Parganas, Haora, Hugli, Darjiling districts (West Bengal province)",Storm,Tropical cyclone,2009,96.0,
"Bihar, Jharkhand provinces",Storm,Lightning/Thunderstorms,2009,35.0,
Delhi province,Flood,Flash flood,2009,11.0,
Pithoragarh district (Uttarakhand province),Mass movement (wet),Landslide (wet),2009,45.0,
"Lal, Bahadur, Shastri, Nagar slums (Mumbai Suburban district, Maharashtra province)",Mass movement (wet),Landslide (wet),2009,10.0,
Uttar Pradesh,Epidemic,Viral disease,2009,311.0,
"Bihar, Orissa, West Bengal, Assam, Kerala, Gujarat, Karnataka provinces",Flood,Riverine flood,2009,992.0,220000.0
"Belgaum, Gulbarga, Bijapur, Raichur, Dharwad, Bagalkot, Bellary, Koppal, Haveri, Bidar, Gadag, Davanegere, Uttar Kannand, Dakshin Kannad districts (Karnataka province), Kurnool, Mahbubnagar, Karimnagar, Anantapur, Krishna, Cuddapah, Guntur, Khammam, Nalgonda districts (Andhra Pradesh province), Maharashtra province",Flood,Riverine flood,2009,355.0,2150000.0
Jainta Hills district (Meghalaya province),Flood,Riverine flood,2009,20.0,
"Ooty, Coonoor cities (Nilgiris district, Tamil Nadu)",Flood,Riverine flood,2009,70.0,64000.0
"Srinagar city ('72808' district, '40424' Jammu and Kashmir province), Uttar Pradesh, Himachal Pradesh, Delhi, Bihar provinces",Extreme temperature,Cold wave,2010,100.0,
"Gujarat, Madhya Pradesh, Maharashtra provinces",Storm,Tropical cyclone,2009,20.0,300000.0
"Darbhanga, Purnia, Sitamarhi, Saharsa, Madhubani districts (Bihar province)",Flood,Riverine flood,2009,52.0,
Uttar Pradesh province,Storm,Severe weather,2009,32.0,
Uttar Pradesh province,Storm,Severe weather,2009,20.0,
"Bongaigaon, Cachar, Dhuburi, Goalpara, Golaghat, Hailakandi, Jorhat, Kamrup, Karbi Anglong, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Sibsagar, Barpeta, Darrang, Dhemaji, Dibrugarh, Karimganj, Nalbari, North Cachar Hills, Sonitpur, Tinsukia districts (Assam province), Bilaspur, Chamba, Hamirpur, Kangra, Kinnaur, Kullu, Lahaul and Spiti, Mandi, Shimla, Sirmaur, Solan, Una districts (Himachal Pradesh province), Chatra, Garhwa, Latehar, Palamu, Dumka, Deoghar, Giridih, Godda, Jamtara, Pakur, Sahibganj, Bokaro, Dhanbad, Purba Singhbhum, Gumla, Hazaribag, Koderma, Lohardaga, Ranchi, Simdega, Saraikela Kharsawan, Pashchim Singhbhum districts (Jharkhand province), Bishnupur, Chandel, Churachandpur, East Imphal, West Imphal, Senapati, Tamenglong, Thoubal, Ukhrul districts (Manipur province), Dimapur, Kohima, Phek, Mokokchung, Mon, Tuensang, Wokha, Zunheboto districts (Nagaland province), Ambedkar Nagar, Ballia, Bareilly, Basti, Deoria, Farrukkhabad, Fatehpur, Ghazipur, Hardoi, Hathras, Jaunpur, Kannauj, Kanpur Dehat, Mainpuri, Mau, Rae Bareli, Sultanpur, Sant Kabir Nagar, Unnao, Agra, Shahjahanpur, Faizabad, Meerut, Mahoba, Aligarh, Jyotiba Phule Nagar, Balrampur, Etah, Rampur, Ghaziabad, Gautam Buddha Nagar, Banda, Mathura, Allahabad, Auraiya, Jalaun, Varanasi, Chandauli, Moradabad, Azamgarh, Siddharth Nagar, Badaun, Sitapur, Firozabad, Saharanpur, Chitrakoot, Etawah, Bulandshahr, Kaushambi, Pilibhit, Muzaffarnagar, Kushinagar, Jhansi, Lucknow, Bijnor, Mirzapur districts (Uttar Pradesh province), Patna, Nalanda, Gaya, Buxar, Bhojpur, Rohtas, Bhabua, Siwan, Nawada, Munger, Aurangabad, Sheikhpura, Lakhisarai, Jamui, Bhagalpur, Banka, Saran, Jehanabad, Muzaffarpur, Sitamarhi, Begusarai, Madhepura, Kishanganj, Katihar, Vaishali districts (Bihar province), Bangalore Urban, Bangalore Rural, Kolar, Tumkur, Chitradurga, Davanagere, Chamrajnagar, Mysore, Mandya, Bellary, Koppal, Raichur, Gulbarga, Bidar, Belgaum, Bagalkot, Bijapur, Gadag districts (Karnataka province), Nanded, Latur, Aurangabad, Jalna, Bid, Parbhani, Osmanabad, Hingoli, Chandrapur, Yavatmal, Wardha, Thane, Raigarh, Nandurbar, Jalgaon, Amravati, Buldana, Washim, Garhchiroli, Pune, Satara, Sangli, Solapur, Kolhapur, Nashik, Dhule, Ahmednagar, Akola districts (Maharasthra province), Rewa, Satna, Sidhi, Shahdol, Anuppur, Umaria, Dindori, Jabalpur, Katni, Balaghat, Narsinghpur, Mandla, Sagar, Panna, Tikamgarh, Chhatarpur, Raisen, Vidisha, Damoh, Sehore, Gwalior, Guna, Ashoknagar, Shivpuri, Datia, Bhind, Morena, Sheopur, Shajapur, Dewas, Ratlam, East Nimar, Burhanpur, Barwani, Jhabua districts (Madhya Pradesh province), Ajmer, Alwar, Banswara, Barmer, Bhilwara, Bikaner, Bundi, Chittaurgarh, Churu, Dausa, Dungarpur, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor, Jhunjhunu, Jodhpur, Nagaur, Pali, Rajsamand, Sawai Madhopur, Sikar, Sirohi, Tonk, Udaipur districts (Rajasthan province)",Drought,Drought,2009,,
Administrative unit not available district (Jammu and Kashmir province),Mass movement (wet),Avalanche (wet),2010,17.0,
"Bihar, West Bengal, Assam provinces",Storm,Tropical cyclone,2010,114.0,
"Uttar Pradesh, Bihar provinces",Storm,Storm (General),2010,54.0,
"Krishna, Prakasam, Nellore, Guntur districts (Andhra Pradesh province), Tamil Nadu province",Storm,Tropical cyclone,2010,32.0,
"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh provinces",Extreme temperature,Heat wave,2010,250.0,
"Ambala, Kurukshetra districts (Haryana province), Punjab, Kerala provinces",Flood,Riverine flood,2010,53.0,447000.0
Andhra Pradesh province,Flood,Riverine flood,2010,27.0,
Delhi province,Flood,Riverine flood,2010,11.0,
"Leh, Cholglamsar villages (72785 district, Jammu and Kashmir province)",Flood,Flash flood,2010,196.0,
Lakhimpur district (Assam province),Flood,Riverine flood,2010,,
"Bihar, Jharkhand provinces",Storm,Lightning/Thunderstorms,2010,25.0,
"Almora, Naini Tal districts (Uttarakhand province), Bihar, Uttar Pradesh provinces",Flood,Riverine flood,2010,200.0,1680000.0
"Punjab, Haryana, Uttar Pradesh provinces",Flood,Riverine flood,2010,,
"Chennai, Cuddalore, Nagapattinam, Pudukottai, Ramanthapuram, Thanjavur, Thiruvallur, Villupuram, Thoothukudi, Tirunelveli Kattabo districts (Tamil Nadu province)",Flood,Riverine flood,2010,203.0,22000.0
